Date,Text_Score,Sentence_Score,Net_Score,Political_Contestent,News_Agency
10/30/2015,0.756097561,1.392857143,0.636759582,Republicans,New York Times
10/29/2015,0.580645161,0.066666667,0.513978495,Republicans,New York Times
10/29/2015,2.25,2.166666667,0.083333333,Republicans,New York Times
10/29/2015,-2,0,0,Republicans,New York Times
10/29/2015,1,-1,-2,Republicans,New York Times
10/28/2015,-2,-2,0,Republicans,New York Times
10/27/2015,1,0,0,Republicans,New York Times
10/24/2015,-0.02,0.692307692,0.712307692,Republicans,New York Times
10/21/2015,0.153846154,0,0,Republicans,New York Times
10/20/2015,-0.052631579,0.59375,0.646381579,Republicans,New York Times
10/20/2015,-0.020833333,0.166666667,0.1875,Republicans,New York Times
10/19/2015,2,1,1,Republicans,New York Times
10/13/2015,-0.6,0,0,Republicans,New York Times
10/11/2015,1,0,0,Republicans,New York Times
10/10/2015,-1.5,-2.5,-1,Republicans,New York Times
10/9/2015,0.142857143,-1,-1.142857143,Republicans,New York Times
10/9/2015,1.5,0,0,Republicans,New York Times
10/8/2015,0.32,-0.520833333,-0.840833333,Republicans,New York Times
10/8/2015,0.375,-0.981481481,-1.356481481,Republicans,New York Times
10/8/2015,-0.666666667,-1,-0.333333333,Republicans,New York Times
10/3/2015,0.384615385,-0.433333333,-0.817948718,Republicans,New York Times
9/30/2015,0.071428571,0.1,0.028571429,Republicans,New York Times
9/29/2015,0.5,0.166666667,0.333333333,Republicans,New York Times
9/29/2015,0.181818182,0.166666667,0.015151515,Republicans,New York Times
9/28/2015,-1.8,0,0,Republicans,New York Times
9/23/2015,0.114754098,0.055555556,0.059198543,Republicans,New York Times
9/23/2015,-1,0.25,1.25,Republicans,New York Times
9/20/2015,0.606060606,1.633333333,1.027272727,Republicans,New York Times
9/20/2015,0.571428571,0.289473684,0.281954887,Republicans,New York Times
9/19/2015,0.325,-0.12745098,-0.45245098,Republicans,New York Times
9/18/2015,-0.307692308,0.307692308,0.615384615,Republicans,New York Times
9/18/2015,0.72972973,-0.3,-1.02972973,Republicans,New York Times
9/17/2015,0.166666667,-0.264285714,-0.430952381,Republicans,New York Times
9/17/2015,2.5,2,0.5,Republicans,New York Times
9/16/2015,0.043478261,0,0,Republicans,New York Times
9/16/2015,0.65,1.014285714,0.364285714,Republicans,New York Times
9/16/2015,2,2.111111111,0.111111111,Republicans,New York Times
9/13/2015,-1,2,3,Republicans,New York Times
9/11/2015,0.473684211,1.166666667,0.692982456,Republicans,New York Times
9/11/2015,-0.4,-1,-0.6,Republicans,New York Times
9/10/2015,-1.333333333,-1.5,-0.166666667,Republicans,New York Times
9/5/2015,0.107142857,-0.066137566,-0.173280423,Republicans,New York Times
9/3/2015,-0.222222222,-0.375,-0.152777778,Republicans,New York Times
9/1/2015,0.561403509,-0.439393939,-1.000797448,Republicans,New York Times
8/28/2015,0.285714286,-1.1,-1.385714286,Republicans,New York Times
8/28/2015,-0.52173913,-0.595238095,-0.073498965,Republicans,New York Times
8/26/2015,0.053571429,0.25,0.196428571,Republicans,New York Times
8/19/2015,-0.230769231,-1,-0.769230769,Republicans,New York Times
8/18/2015,0.666666667,0,0,Republicans,New York Times
8/17/2015,0.5,0,0,Republicans,New York Times
8/12/2015,-0.142857143,0,0,Republicans,New York Times
8/5/2015,0.333333333,1.333333333,1,Republicans,New York Times
8/5/2015,2,2,0,Republicans,New York Times
8/5/2015,-0.777777778,-1,-0.222222222,Republicans,New York Times
8/4/2015,0.481481481,0.75,0.268518519,Republicans,New York Times
8/4/2015,0.515151515,0.4,0.115151515,Republicans,New York Times
